#Wavelength Flux Error
3817.6 37.61464691 2.56109295
3818.4 37.89933395 2.437068892
3819.2 39.59368515 2.464028313
3820 36.98744583 2.372293982
3820.8 38.09757996 2.421420769
3821.6 43.80577469 2.538744681
3822.4 42.09942627 2.561235894
3823.2 37.40322876 2.393771031
3824 39.42018127 2.357454583
3824.8 36.13892365 2.467479394
3825.6 35.59034729 2.382918385
3826.4 37.77189636 2.423655804
3827.2 38.59243393 2.398032859
3828 41.98338699 2.468724001
3828.8 33.03871155 2.447405942
3829.6 34.22977448 2.270155906
3830.4 38.04865265 2.340109661
3831.2 37.82642365 2.400803618
3832 34.54933167 2.326007231
3832.8 27.86878395 2.28696395
3833.6 17.67031479 2.030856534
3834.4 16.35077858 1.988616526
3835.2 22.01316452 2.105110748
3836 31.55062294 2.225686062
3836.8 34.92713547 2.278201106
3837.6 31.20485878 2.197816243
3838.4 31.02650452 2.288352701
3839.2 31.18096924 2.274172083
3840 38.13436127 2.457011985
3840.8 35.70927429 2.2760542
3841.6 32.91215515 2.283843446
3842.4 36.94794846 2.345663791
3843.2 33.47284317 2.328378135
3844 30.42435074 2.261665839
3844.8 35.78000259 2.420087359
3845.6 34.30895996 2.192481129
3846.4 39.32095337 2.32378294
3847.2 38.32094193 2.23663695
3848 37.8797493 2.261002009
3848.8 35.15178299 2.200325799
3849.6 32.73609543 2.207420235
3850.4 33.84856033 2.212969173
3851.2 31.64723969 2.210638761
3852 39.49505997 2.318531465
3852.8 35.5954895 2.151135527
3853.6 34.60943985 2.253337575
3854.4 36.11363983 2.238199487
3855.2 33.44999695 2.220421309
3856 33.13683701 2.167986807
3856.8 38.68676376 2.15722277
3857.6 32.86907578 2.131648699
3858.4 36.55561829 2.17723155
3859.2 35.47397232 2.093140363
3860 29.65135193 2.041509703
3860.8 33.74211502 2.093987845
3861.6 36.44743729 2.172627282
3862.4 30.74480629 2.126546988
3863.2 33.05631638 2.116096592
3864 30.74865913 2.111693017
3864.8 31.53755951 2.144094479
3865.6 31.55241203 2.024905031
3866.4 32.02906036 2.058639068
3867.2 35.19351959 2.018969676
3868 33.77523422 2.053392165
3868.8 30.05165291 2.02691622
3869.6 33.42711258 2.086621837
3870.4 30.66303062 2.030333335
3871.2 32.41847229 1.994687698
3872 32.92850876 2.131484899
3872.8 31.09540749 2.206681963
3873.6 34.08306885 2.120916971
3874.4 32.95868301 2.210889128
3875.2 35.41619873 2.251742887
3876 31.30185699 2.1069609
3876.8 31.68167305 2.206509936
3877.6 33.46135712 2.214169779
3878.4 34.75644302 2.185138885
3879.2 32.83860779 2.108711279
3880 35.80035782 2.215299843
3880.8 31.76976967 2.061960336
3881.6 33.83557892 2.208634705
3882.4 35.78273392 2.227923945
3883.2 30.64165306 2.13316213
3884 32.859478 2.171089652
3884.8 31.22556305 2.164007023
3885.6 34.55228424 2.075776079
3886.4 30.41262817 2.157828644
3887.2 31.9770031 2.107722867
3888 32.49025345 2.017621139
3888.8 30.99489594 1.975824734
3889.6 31.03279686 1.903193573
3890.4 28.19644165 1.890502
3891.2 29.92310524 1.993453717
3892 29.00369835 1.945348727
3892.8 30.98294258 2.039678198
3893.6 30.00493813 1.990078031
3894.4 31.34749413 1.953060946
3895.2 32.3885994 1.969669696
3896 30.42326546 1.97127263
3896.8 31.5861969 1.997015376
3897.6 33.80461884 2.092528363
3898.4 28.00964355 2.01927222
3899.2 31.70746422 1.947609
3900 33.5682106 2.058410947
3900.8 31.75571632 2.022551995
3901.6 31.37460899 1.918688704
3902.4 28.09338951 1.993952161
3903.2 27.60813904 1.940323642
3904 28.96968079 1.954631429
3904.8 33.68221664 2.049979763
3905.6 26.79788017 1.959130473
3906.4 29.86815643 1.916638827
3907.2 30.56908798 1.928782286
3908 27.72960091 1.911506887
3908.8 27.02168655 1.963260195
3909.6 30.76304245 1.880551979
3910.4 32.36649323 1.915809272
3911.2 29.30704308 1.831506322
3912 31.27158928 1.934443973
3912.8 30.23924828 1.889352356
3913.6 29.50477791 1.902898107
3914.4 29.62331009 1.912553182
3915.2 28.37174416 1.862605145
3916 29.05817795 1.854749403
3916.8 27.74322319 1.854539033
3917.6 29.51673317 1.856325887
3918.4 29.94066048 1.881670137
3919.2 28.17156029 1.856941482
3920 28.60542107 1.91244613
3920.8 29.30395317 1.80186168
3921.6 27.84663963 1.749976459
3922.4 26.35866547 1.776938783
3923.2 26.46545601 1.791766513
3924 27.37036133 1.787245849
3924.8 25.51852798 1.746232244
3925.6 28.79415321 1.854990946
3926.4 27.51753426 1.735260818
3927.2 25.22555923 1.705767304
3928 28.10002518 1.796690923
3928.8 25.91790581 1.789321493
3929.6 26.8590374 1.77518232
3930.4 27.59011459 1.777875157
3931.2 28.1318779 1.770376294
3932 28.50619507 1.786343437
3932.8 29.24157524 1.784163274
3933.6 27.64398193 1.780575828
3934.4 27.46105003 1.768886738
3935.2 24.50645065 1.767141194
3936 28.89248466 1.772087502
3936.8 25.33733177 1.752142381
