# Boroson optical Fe template
# log10(wave)  flux (erg/s/cm2/A)
3.6240721886  0.00000e+00
3.6242260875  0.00000e+00
3.6243799864  0.00000e+00
3.6245338853  0.00000e+00
3.6246877842  0.00000e+00
3.6248416831  0.00000e+00
3.624995582  0.00000e+00
3.6251494809  0.00000e+00
3.6253033798  0.00000e+00
3.6254572787  0.00000e+00
3.6256111776  0.00000e+00
3.6257650765  0.00000e+00
3.6259189754  0.00000e+00
3.6260728743  0.00000e+00
3.6262267732  0.00000e+00
3.6263806721  0.00000e+00
3.626534571  0.00000e+00
3.6266884699  0.00000e+00
3.6268423688  0.00000e+00
3.6269962677  0.00000e+00
3.6271501666  0.00000e+00
3.6273040655  0.00000e+00
3.6274579644  0.00000e+00
3.6276118633  0.00000e+00
3.6277657622  0.00000e+00
3.6279196611  0.00000e+00
3.62807356  0.00000e+00
3.6282274589  0.00000e+00
3.6283813578  0.00000e+00
3.6285352567  0.00000e+00
3.6286891556  0.00000e+00
3.6288430545  0.00000e+00
3.6289969534  0.00000e+00
3.6291508523  0.00000e+00
3.6293047512  0.00000e+00
3.6294586501  0.00000e+00
3.629612549  0.00000e+00
3.6297664479  0.00000e+00
3.6299203468  0.00000e+00
3.6300742457  0.00000e+00
3.6302281446  0.00000e+00
3.6303820435  0.00000e+00
3.6305359424  0.00000e+00
3.6306898413  0.00000e+00
3.6308437402  0.00000e+00
3.6309976391  0.00000e+00
3.631151538  0.00000e+00
3.6313054369  0.00000e+00
3.6314593358  0.00000e+00
3.6316132347  0.00000e+00
3.6317671336  0.00000e+00
3.6319210325  0.00000e+00
3.6320749314  0.00000e+00
3.6322288303  0.00000e+00
3.6323827292  0.00000e+00
3.6325366281  0.00000e+00
3.632690527  0.00000e+00
3.6328444259  0.00000e+00
3.6329983248  0.00000e+00
3.6331522237  0.00000e+00
3.6333061226  0.00000e+00
3.6334600215  0.00000e+00
3.6336139204  0.00000e+00
3.6337678193  0.00000e+00
3.6339217182  0.00000e+00
3.6340756171  0.00000e+00
3.634229516  0.00000e+00
3.6343834149  0.00000e+00
3.6345373138  0.00000e+00
3.6346912127  0.00000e+00
3.6348451116  0.00000e+00
3.6349990105  0.00000e+00
3.6351529094  0.00000e+00
3.6353068083  0.00000e+00
3.6354607072  0.00000e+00
3.6356146061  0.00000e+00
3.635768505  0.00000e+00
3.6359224039  0.00000e+00
3.6360763028  0.00000e+00
3.6362302017  0.00000e+00
3.6363841006  0.00000e+00
3.6365379995  0.00000e+00
3.6366918984  0.00000e+00
3.6368457973  0.00000e+00
3.6369996962  0.00000e+00
3.6371535951  0.00000e+00
3.637307494  0.00000e+00
3.6374613929  0.00000e+00
3.6376152918  0.00000e+00
3.6377691907  0.00000e+00
3.6379230896  0.00000e+00
3.6380769885  0.00000e+00
3.6382308874  0.00000e+00
3.6383847863  0.00000e+00
3.6385386852  0.00000e+00
3.6386925841  0.00000e+00
3.638846483  0.00000e+00
3.6390003819  0.00000e+00
3.6391542808  0.00000e+00
3.6393081797  0.00000e+00
3.6394620786  0.00000e+00
3.6396159775  0.00000e+00
3.6397698764  0.00000e+00
3.6399237753  0.00000e+00
3.6400776742  0.00000e+00
3.6402315731  0.00000e+00
3.640385472  0.00000e+00
3.6405393709  0.00000e+00
3.6406932698  0.00000e+00
3.6408471687  0.00000e+00
3.6410010676  0.00000e+00
3.6411549665  0.00000e+00
3.6413088654  0.00000e+00
3.6414627643  0.00000e+00
3.6416166632  0.00000e+00
3.6417705621  0.00000e+00
3.641924461  0.00000e+00
3.6420783599  0.00000e+00
3.6422322588  0.00000e+00
3.6423861577  0.00000e+00
3.6425400566  0.00000e+00
3.6426939555  0.00000e+00
3.6428478544  0.00000e+00
3.6430017533  0.00000e+00
3.6431556522  0.00000e+00
3.6433095511  0.00000e+00
3.64346345  0.00000e+00
3.6436173489  0.00000e+00
3.6437712478  0.00000e+00
3.6439251467  0.00000e+00
3.6440790456  0.00000e+00
3.6442329445  0.00000e+00
3.6443868434  0.00000e+00
3.6445407423  0.00000e+00
3.6446946412  0.00000e+00
3.6448485401  0.00000e+00
3.645002439  0.00000e+00
3.6451563379  0.00000e+00
3.6453102368  0.00000e+00
3.6454641357  0.00000e+00
3.6456180346  0.00000e+00
3.6457719335  0.00000e+00
3.6459258324  0.00000e+00
3.6460797313  0.00000e+00
3.6462336302  0.00000e+00
3.6463875291  0.00000e+00
3.646541428  0.00000e+00
3.6466953269  0.00000e+00
3.6468492258  0.00000e+00
3.6470031247  0.00000e+00
3.6471570236  0.00000e+00
3.6473109225  0.00000e+00
3.6474648214  0.00000e+00
3.6476187203  0.00000e+00
3.6477726192  0.00000e+00
3.6479265181  0.00000e+00
3.648080417  0.00000e+00
3.6482343159  0.00000e+00
3.6483882148  0.00000e+00
3.6485421137  0.00000e+00
3.6486960126  0.00000e+00
3.6488499115  0.00000e+00
3.6490038104  0.00000e+00
3.6491577093  0.00000e+00
3.6493116082  0.00000e+00
3.6494655071  0.00000e+00
3.649619406  0.00000e+00
3.6497733049  0.00000e+00
3.6499272038  0.00000e+00
3.6500811027  0.00000e+00
3.6502350016  0.00000e+00
3.6503889005  0.00000e+00
3.6505427994  0.00000e+00
3.6506966983  0.00000e+00
3.6508505972  0.00000e+00
3.6510044961  0.00000e+00
3.651158395  0.00000e+00
3.6513122939  0.00000e+00
3.6514661928  0.00000e+00
3.6516200917  0.00000e+00
3.6517739906  0.00000e+00
3.6519278895  0.00000e+00
3.6520817884  0.00000e+00
3.6522356873  0.00000e+00
3.6523895862  0.00000e+00
3.6525434851  0.00000e+00
3.652697384  0.00000e+00
3.6528512829  0.00000e+00
3.6530051818  0.00000e+00
3.6531590807  0.00000e+00
3.6533129796  0.00000e+00
3.6534668785  0.00000e+00
3.6536207774  0.00000e+00
3.6537746763  0.00000e+00
3.6539285752  0.00000e+00
3.6540824741  0.00000e+00
3.654236373  0.00000e+00
3.6543902719  0.00000e+00
3.6545441708  0.00000e+00
3.6546980697  0.00000e+00
3.6548519686  0.00000e+00
3.6550058675  0.00000e+00
3.6551597664  0.00000e+00
3.6553136653  0.00000e+00
3.6554675642  0.00000e+00
3.6556214631  0.00000e+00
3.655775362  0.00000e+00
3.6559292609  0.00000e+00
3.6560831598  0.00000e+00
3.6562370587  0.00000e+00
3.6563909576  0.00000e+00
3.6565448565  0.00000e+00
3.6566987554  0.00000e+00
3.6568526543  0.00000e+00
3.6570065532  0.00000e+00
3.6571604521  0.00000e+00
3.657314351  0.00000e+00
3.6574682499  0.00000e+00
3.6576221488  0.00000e+00
3.6577760477  0.00000e+00
3.6579299466  0.00000e+00
3.6580838455  0.00000e+00
3.6582377444  0.00000e+00
3.6583916433  0.00000e+00
3.6585455422  0.00000e+00
3.6586994411  0.00000e+00
3.65885334  0.00000e+00
3.6590072389  0.00000e+00
3.6591611378  0.00000e+00
3.6593150367  0.00000e+00
3.6594689356  0.00000e+00
3.6596228345  0.00000e+00
3.6597767334  0.00000e+00
3.6599306323  0.00000e+00
3.6600845312  0.00000e+00
3.6602384301  0.00000e+00
3.660392329  0.00000e+00
3.6605462279  0.00000e+00
3.6607001268  0.00000e+00
3.6608540257  0.00000e+00
3.6610079246  0.00000e+00
3.6611618235  0.00000e+00
3.6613157224  0.00000e+00
3.6614696213  0.00000e+00
3.6616235202  0.00000e+00
3.6617774191  0.00000e+00
3.661931318  0.00000e+00
3.6620852169  0.00000e+00
3.6622391158  0.00000e+00
3.6623930147  0.00000e+00
3.6625469136  0.00000e+00
3.6627008125  0.00000e+00
3.6628547114  0.00000e+00
3.6630086103  0.00000e+00
3.6631625092  0.00000e+00
3.6633164081  0.00000e+00
3.663470307  0.00000e+00
3.6636242059  0.00000e+00
3.6637781048  0.00000e+00
3.6639320037  0.00000e+00
3.6640859026  0.00000e+00
3.6642398015  0.00000e+00
3.6643937004  0.00000e+00
3.6645475993  0.00000e+00
3.6647014982  0.00000e+00
3.6648553971  0.00000e+00
3.665009296  0.00000e+00
3.6651631949  0.00000e+00
3.6653170938  0.00000e+00
3.6654709927  0.00000e+00
3.6656248916  0.00000e+00
3.6657787905  0.00000e+00
3.6659326894  0.00000e+00
3.6660865883  0.00000e+00
3.6662404872  0.00000e+00
3.6663943861  0.00000e+00
3.666548285  0.00000e+00
3.6667021839  0.00000e+00
3.6668560828  0.00000e+00
3.6670099817  0.00000e+00
3.6671638806  0.00000e+00
3.6673177795  0.00000e+00
3.6674716784  0.00000e+00
3.6676255773  0.00000e+00
3.6677794762  0.00000e+00
3.6679333751  0.00000e+00
3.668087274  0.00000e+00
3.6682411729  0.00000e+00
3.6683950718  0.00000e+00
3.6685489707  0.00000e+00
3.6687028696  0.00000e+00
3.6688567685  0.00000e+00
3.6690106674  0.00000e+00
3.6691645663  0.00000e+00
3.6693184652  0.00000e+00
3.6694723641  0.00000e+00
3.669626263  0.00000e+00
3.6697801619  0.00000e+00
3.6699340608  0.00000e+00
3.6700879597  0.00000e+00
3.6702418586  0.00000e+00
3.6703957575  0.00000e+00
3.6705496564  0.00000e+00
3.6707035553  0.00000e+00
3.6708574542  0.00000e+00
3.6710113531  0.00000e+00
3.671165252  0.00000e+00
3.6713191509  0.00000e+00
3.6714730498  0.00000e+00
3.6716269487  0.00000e+00
3.6717808476  0.00000e+00
3.6719347465  0.00000e+00
3.6720886454  0.00000e+00
3.6722425443  0.00000e+00
3.6723964432  0.00000e+00
3.6725503421  0.00000e+00
3.672704241  0.00000e+00
3.6728581399  0.00000e+00
3.6730120388  0.00000e+00
3.6731659377  0.00000e+00
3.6733198366  0.00000e+00
3.6734737355  0.00000e+00
3.6736276344  0.00000e+00
3.6737815333  0.00000e+00
3.6739354322  0.00000e+00
3.6740893311  0.00000e+00
3.67424323  0.00000e+00
3.6743971289  0.00000e+00
3.6745510278  0.00000e+00
3.6747049267  0.00000e+00
3.6748588256  0.00000e+00
3.6750127245  0.00000e+00
3.6751666234  0.00000e+00
3.6753205223  0.00000e+00
3.6754744212  0.00000e+00
3.6756283201  0.00000e+00
3.675782219  0.00000e+00
3.6759361179  0.00000e+00
3.6760900168  0.00000e+00
3.6762439157  0.00000e+00
3.6763978146  0.00000e+00
3.6765517135  0.00000e+00
3.6767056124  0.00000e+00
3.6768595113  0.00000e+00
3.6770134102  0.00000e+00
3.6771673091  0.00000e+00
3.677321208  0.00000e+00
3.6774751069  0.00000e+00
3.6776290058  0.00000e+00
3.6777829047  0.00000e+00
3.6779368036  0.00000e+00
3.6780907025  0.00000e+00
3.6782446014  0.00000e+00
3.6783985003  0.00000e+00
3.6785523992  0.00000e+00
3.6787062981  0.00000e+00
3.678860197  0.00000e+00
3.6790140959  0.00000e+00
3.6791679948  0.00000e+00
3.6793218937  0.00000e+00
3.6794757926  0.00000e+00
3.6796296915  0.00000e+00
3.6797835904  0.00000e+00
3.6799374893  0.00000e+00
3.6800913882  0.00000e+00
3.6802452871  0.00000e+00
3.680399186  0.00000e+00
3.6805530849  0.00000e+00
3.6807069838  0.00000e+00
3.6808608827  0.00000e+00
3.6810147816  0.00000e+00
3.6811686805  0.00000e+00
3.6813225794  0.00000e+00
3.6814764783  0.00000e+00
3.6816303772  0.00000e+00
3.6817842761  0.00000e+00
3.681938175  0.00000e+00
3.6820920739  0.00000e+00
3.6822459728  0.00000e+00
3.6823998717  0.00000e+00
3.6825537706  0.00000e+00
3.6827076695  0.00000e+00
3.6828615684  0.00000e+00
3.6830154673  0.00000e+00
3.6831693662  0.00000e+00
3.6833232651  0.00000e+00
3.683477164  0.00000e+00
3.6836310629  0.00000e+00
3.6837849618  0.00000e+00
3.6839388607  0.00000e+00
3.6840927596  0.00000e+00
3.6842466585  0.00000e+00
3.6844005574  0.00000e+00
3.6845544563  0.00000e+00
3.6847083552  0.00000e+00
3.6848622541  0.00000e+00
3.685016153  0.00000e+00
3.6851700519  0.00000e+00
3.6853239508  0.00000e+00
3.6854778497  0.00000e+00
3.6856317486  0.00000e+00
3.6857856475  0.00000e+00
3.6859395464  0.00000e+00
3.6860934453  0.00000e+00
3.6862473442  0.00000e+00
3.6864012431  0.00000e+00
3.686555142  0.00000e+00
3.6867090409  0.00000e+00
3.6868629398  0.00000e+00
3.6870168387  0.00000e+00
3.6871707376  0.00000e+00
3.6873246365  0.00000e+00
3.6874785354  0.00000e+00
3.6876324343  0.00000e+00
3.6877863332  0.00000e+00
3.6879402321  0.00000e+00
3.688094131  0.00000e+00
3.6882480299  0.00000e+00
3.6884019288  0.00000e+00
3.6885558277  0.00000e+00
3.6887097266  0.00000e+00
3.6888636255  0.00000e+00
3.6890175244  0.00000e+00
3.6891714233  0.00000e+00
3.6893253222  0.00000e+00
3.6894792211  0.00000e+00
3.68963312  0.00000e+00
3.6897870189  0.00000e+00
3.6899409178  0.00000e+00
3.6900948167  0.00000e+00
3.6902487156  0.00000e+00
3.6904026145  0.00000e+00
3.6905565134  0.00000e+00
3.6907104123  0.00000e+00
3.6908643112  0.00000e+00
3.6910182101  0.00000e+00
3.691172109  0.00000e+00
3.6913260079  0.00000e+00
3.6914799068  0.00000e+00
3.6916338057  0.00000e+00
3.6917877046  0.00000e+00
3.6919416035  0.00000e+00
3.6920955024  0.00000e+00
3.6922494013  0.00000e+00
3.6924033002  0.00000e+00
3.6925571991  0.00000e+00
3.692711098  0.00000e+00
3.6928649969  0.00000e+00
3.6930188958  0.00000e+00
3.6931727947  0.00000e+00
3.6933266936  0.00000e+00
3.6934805925  0.00000e+00
3.6936344914  0.00000e+00
3.6937883903  0.00000e+00
3.6939422892  0.00000e+00
3.6940961881  0.00000e+00
3.694250087  0.00000e+00
3.6944039859  0.00000e+00
3.6945578848  0.00000e+00
3.6947117837  0.00000e+00
